predicted_time,station_name,model_A
2020-06-18 14:25:00,12006 - Gare de Lyon - Van Gogh,48
2020-06-18 14:25:00,12027 - Montgallet - Charenton,5
2020-06-18 14:25:00,12101 - Charenton - Prague,18
2020-06-18 14:25:00,12125 - Pyramide - Parc Floral,15
2020-06-18 14:25:00,12166 - Parc Floral du Bel Air,0
2020-06-18 14:25:00,13019 - Fernand Braudel - Vincent Auriol,35
2020-06-18 14:25:00,13038 - Choisy - Malmaisons,3
2020-06-18 14:25:00,13101 - Croulebarde - Corvisart,11
2020-06-18 14:25:00,13125 - Gare d'Austerlitz - Pont Charles de Gaulle,41
2020-06-18 14:25:00,14012 - Sibelle - Al̩sia,6
2020-06-18 14:25:00,14032 - Mairie du 14̬me,0
2020-06-18 14:25:00,14124 - David Weill - Parc Montsouris,4
2020-06-18 14:25:00,15003 - Gare Montparnasse - Vaugirard,0
2020-06-18 14:25:00,15022 - Emile Zola - Fondary,3
2020-06-18 14:25:00,15039 - Abb̩ Groult - Convention,2
2020-06-18 14:25:00,15057 - Lucien Bossoutrot - G̩n̩ral Martial Vallin,38
2020-06-18 14:25:00,15104 - H̫pital Europ̩en Georges Pompidou,57
2020-06-18 14:25:00,15127 - Place Charles Michels,17
2020-06-18 14:25:00,16009 - Saint-Didier - Raymond Poincar̩,5
2020-06-18 14:25:00,16025 - Jean de la Fontaine - Boulainvilliers,25
2020-06-18 14:25:00,16043 - Place de Passy,5
2020-06-18 14:25:00,16122 - Route de la Muette - Porte de Neuilly,5
2020-06-18 14:25:00,17010 - Jonqui̬re - Docteur Paul Brousse,18
2020-06-18 14:25:00,17027 - Place du Mar̩chal Juin - P̩reire,0
2020-06-18 14:25:00,17045 - Place des Ternes,25
2020-06-18 14:25:00,17121 - Square des Epinettes,4
2020-06-18 14:25:00,18014 - L̩on - Doudeauville,3
2020-06-18 14:25:00,18030 - Joseph Dijon - Ornano,5
2020-06-18 14:25:00,18101 - Championnet,4
2020-06-18 14:25:00,18141 - Clignancourt - Sofia,2
2020-06-18 14:25:00,19016 - Hautpoul - Jean Jaur̬s,0
2020-06-18 14:25:00,19036 - H̫pital Robert Debr̩,0
2020-06-18 14:25:00,19110 - Square Claude Bernard,27
2020-06-18 14:25:00,19130 - Place Paul Delouvrier,0
2020-06-18 14:25:00,20015 - Bagnolet - Orteaux,4
2020-06-18 14:25:00,20035 - Pyr̩n̩es - M̩nilmontant,1
2020-06-18 14:25:00,20109 - Haxo - Surmelin,2
2020-06-18 14:25:00,20136 - Henri Chevreau - Couronnes,2
2020-06-18 14:25:00,21011 - Silly - Louis Bl̩riot,6
2020-06-18 14:25:00,21031 - Cimeti̬re communal,10
2020-06-18 14:25:00,21205 - Arthur Auger - Jean Jaur̬s,5
2020-06-18 14:25:00,21309 - Mairie d'Issy,14
2020-06-18 14:25:00,21507 - Gardenat-Lapostol - Velettes,3
2020-06-18 14:25:00,22006 - Pierret - Madrid,22
2020-06-18 14:25:00,22206 - Louis Pasteur - Albert Petit,11
2020-06-18 14:25:00,22506 - Gare des Vall̩es,3
2020-06-18 14:25:00,23042 - Andr̩ Theuriet - Blagis,19
2020-06-18 14:25:00,24007 - Jean-Baptiste Charcot - Sainte-Genevi̬ve,8
2020-06-18 14:25:00,27004 - Gare de la Garenne-Colombes,3
2020-06-18 14:25:00,31019 - Vincennes - Douy-Delcupe,4
2020-06-18 14:25:00,31703 - Sadi Carnot - Fran̤ois Mitterrand,3
2020-06-18 14:25:00,32016 - Place de la Porte de Paris,0
2020-06-18 14:25:00,33006 - Andr̩ Karman - R̩publique,6
2020-06-18 14:25:00,35004 - Place du Pr̩sident Salvador Allende,14
2020-06-18 14:25:00,41101 - Paul Doumer - Stalingrad,17
2020-06-18 14:25:00,41401 - Marne - Charles de Gaulle,11
2020-06-18 14:25:00,42016 - Pierre et Marie Curie - Maurice Thorez,3
2020-06-18 14:25:00,42303 - Place Eustache Deschamps,15
2020-06-18 14:25:00,43005 - Gare RER de Vincennes,12
2020-06-18 14:25:00,44009 - Gare RER les Ardoines,0
2020-06-18 14:25:00,46002 - Rouget de Lisle,0
2020-06-18 14:25:00,48009 - R̩publique - Auguste Perret,2
2020-06-18 14:25:00,1015 - Place Andr̩ Malraux,15
2020-06-18 14:25:00,1122 - Pont-Neuf - Quai du Louvre,0
2020-06-18 14:25:00,2020 - Danielle Casanova - Op̩ra,18
2020-06-18 14:25:00,3007 - Archives - Pastourelle,10
2020-06-18 14:25:00,4011 - H̫tel de Ville - Pont-Marie,1
